country_code,state_code,region,city,Political_Region
CHE,25,Zurich,Zürich,Western Europe
USA,CA,SF Bay Area,Redwood City,USA - West
USA,CA,SF Bay Area,San Jose,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
USA,VA,VA - Other,Bristol,USA - South
USA,NJ,Newark,Princeton,USA - Northeast
USA,CA,SF Bay Area,Redwood City,USA - West
USA,TX,Houston,Houston,USA - South
USA,CA,SF Bay Area,Fremont,USA - West
USA,TX,Austin,College Station,USA - South
USA,OR,"Portland, Oregon",Portland,USA - West
USA,FL,Tampa,Tampa,USA - South
Unknown,Unknown,Unknown,Unknown,Unknown
USA,WA,Seattle,Bellevue,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,SF Bay Area,Sunnyvale,USA - West
USA,NY,New York City,New York,USA - Northeast
GBR,C7,Coventry,Coventry,Western Europe
USA,TX,Austin,Austin,USA - South
USA,AZ,Phoenix,Phoenix,USA - West
USA,TX,Austin,Austin,USA - South
RUS,91,RUS - Other,Krasnoyarsk,Eastern Europe
Unknown,Unknown,Unknown,Unknown,Unknown
USA,GA,Atlanta,Lawrenceville,USA - South
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,Los Angeles,Los Angeles,USA - West
USA,MA,Boston,Concord,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
USA,TX,Houston,Bellaire,USA - South
USA,PA,Philadelphia,Philadelphia,USA - Northeast
USA,MI,Detroit,Troy,USA - Midwest
USA,CA,SF Bay Area,Oakland,USA - West
USA,CA,Los Angeles,Los Angeles,USA - West
ESP,56,Barcelona,Barcelona,Southern Europe
USA,CA,SF Bay Area,San Francisco,USA - West
USA,NY,New York City,New York,USA - Northeast
USA,MN,Minneapolis,Maple Grove,USA - Midwest
FRA,A8,Paris,Paris,Western Europe
USA,DE,Dover,Lewes,USA - South
USA,MA,Boston,Boston,USA - Northeast
USA,CA,SF Bay Area,San Francisco,USA - West
SWE,26,Stockholm,Stockholm,Northern Europe
GBR,Q5,York,York,Western Europe
IND,7,Delhi,Delhi,South Asia
USA,RI,Providence,Providence,USA - Northeast
KOR,11,Seoul,Seoul,East Asia
GBR,C5,Altrincham,Altrincham,Western Europe
USA,CO,Denver,Boulder,USA - West
AUS,Unknown,Unknown,Unknown,Oceania
USA,NY,New York City,New York,USA - Northeast
TWN,3,Taiwan,Taipei,East Asia
Unknown,Unknown,Unknown,Unknown,Unknown
CHN,23,Shanghai,Shanghai,East Asia
AUS,7,Melbourne,Melbourne,Oceania
HUN,1,HUN - Other,Kecskemét,Eastern Europe
USA,FL,Ft. Lauderdale,Pembroke Pines,USA - South
CAN,ON,Ottawa,Ottawa,North America
Unknown,Unknown,Unknown,Unknown,Unknown
USA,IL,Chicago,Itasca,USA - Midwest
ESP,56,Barcelona,Barcelona,Southern Europe
USA,OH,Akron - Canton,Tallmadge,USA - Midwest
USA,CA,SF Bay Area,San Francisco,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
GBR,K2,London,Oxford,Western Europe
USA,TX,Dallas,Sachse,USA - South
USA,WA,Seattle,Kirkland,USA - West
USA,VA,"Washington, D.C.",Reston,USA - South
USA,TX,Austin,Austin,USA - South
USA,NY,New York City,New York,USA - Northeast
USA,CA,Ontario - Inland Empire,Loma Linda,USA - West
AUS,2,AUS - Other,Botany,Oceania
FIN,14,FIN - Other,Joensuu,Northern Europe
Unknown,Unknown,Unknown,Unknown,Unknown
BRA,23,Porto Alegre,Porto Alegre,Latin America
USA,MA,Boston,Somerville,USA - Northeast
CHN,30,Shenzhen,Shenzhen,East Asia
Unknown,Unknown,Unknown,Unknown,Unknown
GBR,H9,London,London,Western Europe
USA,CA,SF Bay Area,Palo Alto,USA - West
USA,CA,Los Angeles,Los Angeles,USA - West
USA,AL,Huntsville,Huntsville,USA - South
ESP,29,Leganes,Leganés,Southern Europe
USA,CA,Ontario - Inland Empire,Rancho Cucamonga,USA - West
EGY,6,Alexandria,Alexandria,North Africa
USA,NC,Charlotte,Charlotte,USA - South
PRT,14,Porto,Porto,Southern Europe
ISR,5,Tel Aviv,Ramat Gan,Middle East
CHL,12,Santiago,Santiago,South America
CHN,22,Beijing,Beijing,East Asia
GBR,H9,London,London,Western Europe
USA,CA,SF Bay Area,Sausalito,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown
USA,NC,Charlotte,Charlotte,USA - South
USA,NY,New York City,New York,USA - Northeast
USA,IL,Chicago,Evanston,USA - Midwest
GBR,H9,London,London,Western Europe
USA,IL,Chicago,Chicago,USA - Midwest
USA,CA,SF Bay Area,Mountain View,USA - West
FRA,A8,Neuilly-sur-seine,Neuilly-sur-seine,Western Europe
USA,MD,Baltimore,Columbia,USA - South
USA,CA,SF Bay Area,South San Francisco,USA - West
ISR,5,Tel Aviv,Tel Aviv,Middle East
USA,Unknown,Unknown,Unknown,USA - USA - Other
USA,MI,Detroit,Ann Arbor,USA - Midwest
USA,FL,Miami,Miami,USA - South
CHN,22,Beijing,Beijing,East Asia
RUS,48,Moscow,Moscow,Eastern Europe
USA,CA,SF Bay Area,San Francisco,USA - West
USA,OR,"Portland, Oregon",Portland,USA - West
USA,CA,San Diego,San Diego,USA - West
USA,TX,Houston,Cypress,USA - South
USA,TX,San Antonio,San Antonio,USA - South
USA,CA,SF Bay Area,San Francisco,USA - West
USA,NY,New York City,New York,USA - Northeast
USA,CA,San Diego,San Diego,USA - West
SVK,2,Bratislava,Bratislava,Eastern Europe
GBR,H9,London,London,Western Europe
Unknown,Unknown,Unknown,Unknown,Unknown
USA,MA,Boston,Cambridge,USA - Northeast
USA,CA,SF Bay Area,San Jose,USA - West
BRA,26,ItÃ¡,Itá,Latin America
USA,TX,San Antonio,San Antonio,USA - South
USA,ND,Fargo,Fargo,USA - Midwest
NLD,7,Amsterdam,Amsterdam,Western Europe
USA,CA,SF Bay Area,Redwood City,USA - West
USA,CA,SF Bay Area,San Francisco,USA - West
USA,CA,SF Bay Area,San Francisco,USA - West
ARG,7,Buenos Aires,Buenos Aires,South America
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CO,Denver,Longmont,USA - West
USA,CO,Denver,Boulder,USA - West
USA,MA,Boston,Charlestown,USA - Northeast
ARE,3,Dubai,Dubai,Middle East
ESP,29,Madrid,Madrid,Southern Europe
USA,CA,Los Angeles,Los Angeles,USA - West
USA,TX,Austin,Austin,USA - South
CHE,25,Zurich,Zürich,Western Europe
Unknown,Unknown,Unknown,Unknown,Unknown
JPN,40,Tokyo,Tokyo,East Asia
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,Los Angeles,Los Angeles,USA - West
GBR,K4,Plymouth,Plymouth,Western Europe
USA,FL,Palm Beaches,Palm Beach Gardens,USA - South
USA,MI,Detroit,Ann Arbor,USA - Midwest
CHN,22,Beijing,Beijing,East Asia
USA,VT,VT - Other,Woodstock,USA - Northeast
IRL,7,Dublin,Dublin,Western Europe
USA,IL,IL - Other,Kenilworth,USA - Midwest
USA,CA,SF Bay Area,Mountain View,USA - West
DEU,16,Berlin,Berlin,Western Europe
USA,TX,Austin,Austin,USA - South
Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown
USA,NY,New York City,Brooklyn,USA - Northeast
ARG,7,Buenos Aires,Buenos Aires,South America
Unknown,Unknown,Unknown,Unknown,Unknown
LBN,4,Beirut,Beirut,Middle East
USA,PA,Philadelphia,Malvern,USA - Northeast
USA,UT,Salt Lake City,South Jordan,USA - West
GBR,H9,London,London,Western Europe
EST,1,Tallinn,Tallinn,Northern Europe
USA,CA,Los Angeles,Santa Monica,USA - West
USA,WA,Seattle,Seattle,USA - West
CHE,25,Zurich,Zürich,Western Europe
USA,CA,SF Bay Area,San Jose,USA - West
USA,MA,Boston,Boston,USA - Northeast
CHN,23,Shanghai,Shanghai,East Asia
